Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
219;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;1;0;0;1;8;0;0;0;0;0;1;15 a 18 millones;Otro;3;1;Servicios
220;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Construccion
221;Bucaramanga;Banco Mundo Mujer;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Financiero
222;Medellin;Konecta;Analista;2;Universitaria;0;0;0;0;2;1;1;0;0;0;0;4 a 4.5 millones;Otro;2;1;Tecnología
223;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;10;1;0;0;0;0;1;8 a 10 millones;Otro;3;1;Tecnología
224;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;1;0;1;10;1;0;0;0;1;1;18 a 21 millones;C;3;1;Asegurador
225;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;0;Salario a convenir;B;0;1;Financiero
226;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;0;2.5 a 3 millones;Otro;2;1;Estatal y relacionados
227;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;7;1;0;1;0;0;1;15 a 18 millones;Otro;3;1;Servicios
228;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;4.5 a 5.5 millones;C;2;1;Organizaciones No Gubernamentales
229;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Financiero
230;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;1;0;1;0;4.5 a 5.5 millones;Otro;2;1;Estatal y relacionados
231;Bucaramanga;Tuya;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Financiero
232;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;5;0;0;1;0;1;0;4.5 a 5.5 millones;Otro;2;1;Estatal y relacionados
233;Bucaramanga;Fundación de la mujer;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;0;1;0;2 a 2.5millones;Otro;1;1;Servicios
234;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;0;0;0;0;0;0;1;1 a 1.5millones;Otro;1;1;Financiero
