Item;Ciudad;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ingles;Pingles;Sintervalos;Salario;Vacantes;Sector de la vacante
721;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización ;0;0;0;1;5;3;0;0;0;0;1;1;Otro;No;Otro;0;1;
722;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;0;0;0;1;5;3;0;0;0;0;0;1;Otro;No;$4,5 a $5,5 millones;2;1;
723;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;No;$1 a $1,5 millones;1;1;
724;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;1;Técnica;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$1,5 a $2 millones;1;1;
725;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
726;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;1;0;0;1;0;1;B2;Si;$3 a $3,5 millones;2;1;
727;Medellin;Comercial, ventas y servicio al cliente;1;Técnica;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$1 a $1,5 millones;1;1;
728;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
729;Medellin;otros;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;0;Otro;No;Otro;0;1;
730;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;0;1;0;1;3;2;0;0;0;0;1;1;C1;Si;Otro;0;1;
731;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;No;$1 a $1,5 millones;1;1;
732;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
